threshold,train_accuracy,train_precision,train_recall,train_f1
0.1,0.8636363636363636,0.7464788732394366,1.0,0.8548387096774194
0.11,0.8787878787878788,0.7681159420289855,1.0,0.8688524590163934
0.12,0.8787878787878788,0.7681159420289855,1.0,0.8688524590163934
0.13,0.8863636363636364,0.7794117647058824,1.0,0.8760330578512396
0.13999999999999999,0.8939393939393939,0.7910447761194029,1.0,0.8833333333333333
0.14999999999999997,0.8939393939393939,0.7910447761194029,1.0,0.8833333333333333
0.15999999999999998,0.9015151515151515,0.803030303030303,1.0,0.8907563025210085
0.16999999999999998,0.9090909090909091,0.8153846153846154,1.0,0.8983050847457628
0.17999999999999997,0.9318181818181818,0.8548387096774194,1.0,0.9217391304347826
0.18999999999999995,0.9393939393939394,0.8688524590163934,1.0,0.9298245614035088
0.19999999999999996,0.946969696969697,0.8833333333333333,1.0,0.9380530973451328
0.20999999999999996,0.9545454545454546,0.8983050847457628,1.0,0.9464285714285714
0.21999999999999995,0.9545454545454546,0.8983050847457628,1.0,0.9464285714285714
0.22999999999999995,0.9545454545454546,0.8983050847457628,1.0,0.9464285714285714
0.23999999999999994,0.9621212121212122,0.9137931034482759,1.0,0.954954954954955
0.24999999999999992,0.9772727272727273,0.9464285714285714,1.0,0.9724770642201835
0.2599999999999999,0.9772727272727273,0.9464285714285714,1.0,0.9724770642201835
0.2699999999999999,0.9772727272727273,0.9464285714285714,1.0,0.9724770642201835
0.2799999999999999,0.9924242424242424,0.9814814814814815,1.0,0.9906542056074766
0.2899999999999999,0.9924242424242424,0.9814814814814815,1.0,0.9906542056074766
0.29999999999999993,0.9924242424242424,0.9814814814814815,1.0,0.9906542056074766
0.30999999999999994,0.9924242424242424,0.9814814814814815,1.0,0.9906542056074766
0.3199999999999999,0.9924242424242424,0.9814814814814815,1.0,0.9906542056074766
0.32999999999999985,0.9924242424242424,0.9814814814814815,1.0,0.9906542056074766
0.33999999999999986,0.9924242424242424,0.9814814814814815,1.0,0.9906542056074766
0.34999999999999987,0.9924242424242424,0.9814814814814815,1.0,0.9906542056074766
0.3599999999999999,1.0,1.0,1.0,1.0
0.3699999999999999,1.0,1.0,1.0,1.0
0.3799999999999999,1.0,1.0,1.0,1.0
0.3899999999999999,1.0,1.0,1.0,1.0
0.3999999999999998,1.0,1.0,1.0,1.0
0.4099999999999998,1.0,1.0,1.0,1.0
0.4199999999999998,1.0,1.0,1.0,1.0
0.4299999999999998,1.0,1.0,1.0,1.0
0.43999999999999984,1.0,1.0,1.0,1.0
0.44999999999999984,1.0,1.0,1.0,1.0
0.45999999999999985,1.0,1.0,1.0,1.0
0.46999999999999986,1.0,1.0,1.0,1.0
0.47999999999999976,1.0,1.0,1.0,1.0
0.48999999999999977,1.0,1.0,1.0,1.0
0.4999999999999998,1.0,1.0,1.0,1.0
0.5099999999999998,1.0,1.0,1.0,1.0
0.5199999999999998,1.0,1.0,1.0,1.0
0.5299999999999998,1.0,1.0,1.0,1.0
0.5399999999999998,1.0,1.0,1.0,1.0
0.5499999999999998,1.0,1.0,1.0,1.0
0.5599999999999997,1.0,1.0,1.0,1.0
0.5699999999999997,1.0,1.0,1.0,1.0
0.5799999999999997,1.0,1.0,1.0,1.0
0.5899999999999997,1.0,1.0,1.0,1.0
0.5999999999999998,1.0,1.0,1.0,1.0
0.6099999999999998,1.0,1.0,1.0,1.0
0.6199999999999998,1.0,1.0,1.0,1.0
0.6299999999999997,1.0,1.0,1.0,1.0
0.6399999999999997,1.0,1.0,1.0,1.0
0.6499999999999997,1.0,1.0,1.0,1.0
0.6599999999999997,1.0,1.0,1.0,1.0
0.6699999999999997,1.0,1.0,1.0,1.0
0.6799999999999997,0.9924242424242424,1.0,0.9811320754716981,0.9904761904761905
0.6899999999999997,0.9924242424242424,1.0,0.9811320754716981,0.9904761904761905
0.6999999999999996,0.9924242424242424,1.0,0.9811320754716981,0.9904761904761905
0.7099999999999996,0.9924242424242424,1.0,0.9811320754716981,0.9904761904761905
0.7199999999999996,0.9924242424242424,1.0,0.9811320754716981,0.9904761904761905
0.7299999999999996,0.9924242424242424,1.0,0.9811320754716981,0.9904761904761905
0.7399999999999997,0.9848484848484849,1.0,0.9622641509433962,0.9807692307692307
0.7499999999999997,0.9848484848484849,1.0,0.9622641509433962,0.9807692307692307
0.7599999999999997,0.9848484848484849,1.0,0.9622641509433962,0.9807692307692307
0.7699999999999997,0.9772727272727273,1.0,0.9433962264150944,0.970873786407767
0.7799999999999997,0.9696969696969697,1.0,0.9245283018867925,0.9607843137254902
0.7899999999999996,0.9696969696969697,1.0,0.9245283018867925,0.9607843137254902
0.7999999999999996,0.9696969696969697,1.0,0.9245283018867925,0.9607843137254902
0.8099999999999996,0.9545454545454546,1.0,0.8867924528301887,0.94
0.8199999999999996,0.946969696969697,1.0,0.8679245283018868,0.9292929292929293
0.8299999999999996,0.946969696969697,1.0,0.8679245283018868,0.9292929292929293
0.8399999999999996,0.946969696969697,1.0,0.8679245283018868,0.9292929292929293
0.8499999999999996,0.946969696969697,1.0,0.8679245283018868,0.9292929292929293
0.8599999999999995,0.9318181818181818,1.0,0.8301886792452831,0.9072164948453608
0.8699999999999996,0.9166666666666666,1.0,0.7924528301886793,0.8842105263157894
0.8799999999999996,0.9166666666666666,1.0,0.7924528301886793,0.8842105263157894
0.8899999999999996,0.9166666666666666,1.0,0.7924528301886793,0.8842105263157894
0.8999999999999996,0.9015151515151515,1.0,0.7547169811320755,0.8602150537634409
